"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"IC1";"TQFP44";1;"ATMEGA32U4";;;
2;"D27,D15,D16,D17,D25,D1,D19,D13,D26,D29,D33,D30,D31,D18,D35,D14,D34,D24,D23,D22,D21,D12,D8,D11,D10,D5,D9,D2,D6,D7,D36,D37,D39,D40,D38,D44,D41,D43,D42,D20,D28,D32,D4,D3";"SM0805D";44;"1N4148";;;
3;"C5,C3,C6,C2";"SM0805";4;"100n";;;
4;"C7,C1";"SM0805";2;"1u";;;
5;"R1,R2";"SM0805";2;"22";;;
6;"C8,C4";"SM0805";2;"22p";;;
7;"R4,R3";"R3";2;"10k";;;
8;"S5,S17,S25,S4,S43,S38,S35,S31,S27,S23,S19,S15,S11,S7,S3,S26,S40,S37,S30,S22,S18,S14,S10,S6,S2,S41,S34,S33,S29,S21,S13,S9,S45,S42,S39,S36,S32,S28,S24,S20,S16,S12,S8,S44";"MX1A-b";44;"MX1A";;;
9;"X1";"ASX3F";1;"ASX3F";;;
10;"S1";"DTSJW-66N";1;"Reset";;;
11;"J1,J2";"USBMINImod";2;"USB";;;
12;"G***";"OSHW";1;"OSHW";;;
13;"G***";"OSHWT";1;"OSHWT";;;
